AutoInspect	BossAR	BossClassID	BossDR	BossLv	ClassID	ClassName	GenType	Item_Request	Location	MapClassName	MapName	Name	RewardItem	Time01	Time02	TimeDesc	ZoneLog
YES	88	30434	72	135	504	MON_LUCIFER01_STAGE2BOSS	Lucifer	None	dun_lucifer01 -28533,321,219	dun_lucifer01	<$>47864</>	<$>50045</>	45007,45008,45009,46014,15301,86611,86360,46015,86361,86303,64512	496800	518400	<$>188583</>	YES
YES	77	14513	72	140	506	MON_LUCIFER01_RAID2_BOSS1	Lucifer	None	dun_lucifer01 3480,-5827,215	dun_lucifer01	<$>47864</>	<$>49531</>	64701,64704,64706,64552,64542,64512,86363,19120,86366,86305,64714	496800	518400	<$>188583</>	YES
YES	78	20055	69	140	507	MON_LUCIFER01_RAID2_BOSS2	Lucifer	None	dun_lucifer01 -1746,-9919,-4	dun_lucifer01	<$>47864</>	<$>51254</>	19119,19518,86359,46014,86360,46015,86361,86303,86305,86307	410400	432000	<$>188583</>	YES
YES	77	20066	70	140	508	MON_LUCIFER01_RAID2_BOSS3	Lucifer	None	dun_lucifer01 12065,-13021,7	dun_lucifer01	<$>47864</>	<$>49682</>	19119,19518,86359,46014,86360,46015,86361,86303,86305,86307	410400	432000	<$>188583</>	YES
YES	80	30413	73	140	509	MON_LUCIFER01_JORMONGAND	Lucifer	None	dun_lucifer01 8102,6921,-4	dun_lucifer01	<$>47864</>	<$>50042</>	45007,45008,45009,46014,15300,86333,86332,64512,86360,46015,86361,86303,64711,86374	496800	518400	<$>188583</>	YES
YES	76	14503	71	138	510	MON_LUCIFER01_LUSTWITCH03	Lucifer	None	dun_lucifer01 202,6737,-4	dun_lucifer01	<$>47864</>	<$>49528</>	86307,64552,46014,19121,19520,86367,86373,15331,15332,19523,19124,64716	496800	518400	<$>188583</>	YES
YES	81	21166	71	138	511	MON_LUCIFER01_GREATGLUTTONY	Lucifer	None	dun_lucifer01 6708,-370,455	dun_lucifer01	<$>47864</>	<$>49820</>	64701,64704,64706,45008,15283,15289,86327,15295,86344,45011,86347	496800	518400	<$>188592</>	YES
YES	88	20153	70	135	512	MON_LUCIFER01_STAGE3BOSS	Lucifer	None	dun_lucifer01 -26640,-6838,0	dun_lucifer01	<$>47864</>	<$>188593</>	19120,19519,86359,46014,86360,46015,86361,86303,86305,86307	410400	432000	<$>188583</>	YES
YES	88	20155	70	135	513	MON_LUCIFER01_STAGE3BOSS2	Lucifer	None	dun_lucifer01 -34743,3965,0	dun_lucifer01	<$>47864</>	<$>188594</>	19120,19519,86359,46014,86360,46015,86361,86303,86305,86307	410400	432000	<$>188583</>	YES
YES	80	14712	75	140	514	MON_RAID_RESPAWN_DEATHWRAITH1	Lucifer	None	dun_lucifer01 -18034,-22921,-755	dun_lucifer01	<$>47864</>	<$>49599</>	86467,86475,86478,86485,64512,64542,64552,86374,86376,86378	280800	302400	<$>188595</>	YES
YES	80	14722	75	140	515	MON_RAID_RESPAWN_DEATHWRAITH2	Lucifer	None	dun_lucifer01 29085,-691,-755	dun_lucifer01	<$>47864</>	<$>49600</>	86467,86475,86478,86485,64512,64542,64552,86374,86376,86378	280800	302400	<$>188595</>	YES
YES	80	14702	75	140	516	MON_RAID_RESPAWN_DEATHWRAITH3	Lucifer	None	dun_lucifer01 34,21274,-755	dun_lucifer01	<$>47864</>	<$>49598</>	86467,86475,86478,86485,64512,64542,64552,86374,86376,86378	280800	302400	<$>188595</>	YES
YES	77	11103	70	130	517	MON_LUCIFER01_RAID_FRIEND	Etc	None	dun_lucifer01 -10934,-22134,120 29960,-7776,120 -7077,20474,120 7109,22077,120 28363,6411,120	dun_lucifer01	<$>47864</>	<$>48888</>	15288,15294,64601,64602,64603,64604,64605,64606,64701,64704	0	0	<$>188587</>	YES
YES	77	11104	70	130	518	MON_LUCIFER01_RAID_FRIEND2	Etc	None	dun_lucifer01 -10915,-23742,120 28371,-7776,120 -7074,22065,120 7112,20476,120 29955,6416,120	dun_lucifer01	<$>47864</>	<$>48889</>	15288,15294,64601,64602,64603,64604,64605,64606,64701,64704	0	0	<$>188587</>	YES
YES	83	13673	73	140	601	MON_COBOLT_LUCIFER01	Lucifer	None	dun_lucifer02 19376,-882,-1252	dun_lucifer02	<$>47865</>	<$>49453</>	86303,21364,64512,64542,64552,21804	496800	518400	<$>188583</>	YES
YES	74	30342	74	145	602	MON_HELLLORD_LUCIFER01	Lucifer	None	dun_lucifer02 19964,4689,-449	dun_lucifer02	<$>47865</>	<$>50033</>	86332,86333,86611,64512,64542,64552,21804	496800	518400	<$>188583</>	YES
YES	75	30452	67	130	603	MON_UNDERTAKER_LUCIFER01	Lucifer	None	dun_lucifer02 11564,4205,354	dun_lucifer02	<$>47865</>	<$>139912</>	45007,45008,45009,46014,15300,86333,86332,64512,86360,46015,86361,86303,64711,86374	496800	518400	<$>188583</>	YES
YES	79	30044	74	145	604	MON_CHIMERA_LUCIFER01	Lucifer	None	dun_lucifer02 -36219,7064,384	dun_lucifer02	<$>47865</>	<$>49994</>	64701,64704,64706,45008,15283,15289,86327,15295,86344,45011,86347,64711,86374	496800	518400	<$>188583</>	YES
YES	73	14752	73	140	605	MON_STONECORTES_LUCIFER01	Lucifer	None	dun_lucifer02 -42675,20915,538	dun_lucifer02	<$>47865</>	<$>49604</>	86486,86487,86471,86472,86465,64512,64542,64552,86374,86376,86378	280800	302400	<$>188596</>	YES
YES	74	13632	74	145	606	MON_MAGE_LUCIFER01	Etc	None	dun_lucifer02 -17578,18588,19	dun_lucifer02	<$>47865</>	<$>49445</>	64512,64542,64552,21804	0	0	<$>188587</>	YES
YES	74	13633	74	145	607	MON_MAGE_LUCIFER02	Etc	None	dun_lucifer02 -21857,16202,19	dun_lucifer02	<$>47865</>	<$>49446</>	64512,64542,64552,21804	0	0	<$>188587</>	YES
YES	74	13634	74	145	608	MON_MAGE_LUCIFER03	Etc	None	dun_lucifer02 -20926,19458,19	dun_lucifer02	<$>47865</>	<$>49447</>	64512,64542,64552,21804	0	0	<$>188587</>	YES
YES	77	13445	67	130	609	MON_BEHOLDER_LUCIFER01	Etc	None	dun_lucifer02 -5905,16276,19	dun_lucifer02	<$>47865</>	<$>49407</>	64512,64542,64552,21804	0	0	<$>188587</>	YES
YES	77	13465	67	130	610	MON_CORPSE_LUCIFER01	Etc	None	dun_lucifer02 -6767,19654,19	dun_lucifer02	<$>47865</>	<$>49415</>	64512,64542,64552,21804	0	0	<$>188587</>	YES
YES	77	13474	67	130	611	MON_MARCIA_LUCIFER01	Etc	None	dun_lucifer02 -10104,18794,19	dun_lucifer02	<$>47865</>	<$>49420</>	64512,64542,64552,21804	0	0	<$>188587</>	YES
YES	78	14732	73	140	612	MON_NEPHTYS_LUCIFER01	Random	None	dun_lucifer02 -31676,21128,309	dun_lucifer02	<$>47865</>	<$>49601</>	86481,86482,86483,86484,64512,64542,64552,86374,86376,86378	604800	648000	<$>112330</>	YES
YES	78	14742	73	140	613	MON_NEPHTYS_LUCIFER02	Random	None	dun_lucifer02 -31676,21128,309	dun_lucifer02	<$>47865</>	<$>49602</>	86481,86482,86483,86484,64512,64542,64552,86374,86376,86378	604800	648000	<$>112330</>	YES
YES	81	21251	79	145	701	MON_DUN_CASLUCIFER04_BOSS	Etc	None	dun_caslucifer04 0,0,0	dun_caslucifer04	<$>151356</>	<$>148953</>	64711,64703,64714,64716,86527,86529,189092,21928,86463,86464,86465,86466,86467,86468,86469,86470,86471,86472,86473,86474,86475,86476,86477,86478,86479,86480,86481,86482,86483,86484,86485,86486,86487,86488,86489,86490,86491,86492	0	0	<$>188597</>	YES
YES	81	18033	78	150	801	MON_ARM_DUN01_BOSS01	Random	None	dun_arm01 11961,5103,104	dun_arm01	<$>114036</>	<$>117377</>	86911,189329,23562,86374,86376,86378,86379,64711,64703,64714,64716	86400	432000	<$>199280</>	YES
YES	81	18034	78	150	802	MON_ARM_DUN01_BOSS02	Random	None	dun_arm01 181,-556,480	dun_arm01	<$>114036</>	<$>117378</>	86911,189329,23562,86374,86376,86378,86379,64711,64703,64714,64716	86400	432000	<$>199280</>	YES
YES	75	18138	73	150	901	MON_ARM_DUN02_BOSS03	Random	None	dun_arm02 69,-12657,-1361	dun_arm02	<$>125265</>	<$>125304</>	86374,86376,86378,86379,64711,64703,64714,64716,189325,189326	43200	86400	None	YES
YES	80	18058	80	150	902	MON_ARM_DUN02_BOSS01	Random	None	dun_arm02 12882,67,-519	dun_arm02	<$>125265</>	<$>125305</>	86374,86376,86378,86379,64711,64703,64714,64716,86909,40600,40601,189329,40602	302400	388800	None	YES
YES	81	18059	79	150	903	MON_ARM_DUN02_BOSS02	Random	None	dun_arm02 -12746,88,-519	dun_arm02	<$>125265</>	<$>125306</>	86374,86376,86378,86379,64711,64703,64714,64716,86909,40600,40601,189329,40602	302400	388800	None	YES
YES	85	18122	82	150	904	MON_OSCURAS	Etc	None	dun_arm02 23,6375,95	dun_arm02	<$>125265</>	<$>237467</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87186	0	0	<$>237468</>	YES
YES	82	18076	80	150	1001	MON_ARM_DUN03_BOSS01	Random	None	dun_arm03 6434,-894,969	dun_arm03	<$>129026</>	<$>129055</>	86374,86376,86378,86379,64711,64703,64714,64716,86907,189330	259200	432000	<$>188598</>	YES
YES	82	18077	80	150	1002	MON_ARM_DUN03_BOSS02	Random	None	dun_arm03 -6426,-888,969	dun_arm03	<$>129026</>	<$>129056</>	86374,86376,86378,86379,64711,64703,64714,64716,86907,189330	259200	432000	<$>188599</>	YES
YES	82	18095	80	150	1101	MON_ARM_DUN04_BOSS01	Random	None	dun_arm04 9539,-12937,999	dun_arm04	<$>132032</>	<$>132120</>	86374,86376,86378,86379,64711,64703,64714,64716,86907,189330	604800	648000	<$>188600</>	YES
YES	82	18096	80	150	1102	MON_ARM_DUN04_BOSS012	Random	None	dun_arm04 3336,-12937,999	dun_arm04	<$>132032</>	<$>132121</>	86374,86376,86378,86379,64711,64703,64714,64716,86907,189330	604800	648000	<$>194122</>	YES
YES	82	18094	81	150	1103	MON_ARM_DUN04_BOSS02	Random	None	dun_arm04 -9539,-12937,999	dun_arm04	<$>132032</>	<$>132119</>	86374,86376,86378,86379,64711,64703,64714,64716,86907,189330	604800	648000	<$>188602</>	YES
YES	82	18097	81	150	1104	MON_ARM_DUN04_BOSS022	Random	None	dun_arm04 -3336,-12937,999	dun_arm04	<$>132032</>	<$>132122</>	86374,86376,86378,86379,64711,64703,64714,64716,86907,189330	604800	648000	<$>194123</>	YES
YES	84	18124	82	150	1201	MON_ARM_NECROBUS	Etc	None	dun_arm05_blue 0,0,0	dun_arm05_blue	<$>136967</>	<$>231631</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,53102	0	0	<$>237469</>	YES
YES	82	18123	81	150	1301	MON_ARM_ABYSS	Random	None	dun_arm05_red 6,-1540,8	dun_arm05_red	<$>139634</>	<$>51987</>	86374,86376,86378,86379,64711,64703,64714,64716,86909,189329	259200	432000	None	YES
YES	82	66100	82	150	1401	MON_ORDEN_LAVID	Random	None	dun_tor01_lavid 15819 -1996 1100	dun_tor01_lavid	<$>184231</>	<$>184277</>	86374,86376,86378,86379,64711,64703,64714,64716,21804,87057,87058,87059,87060,87061	0	0	<$>193289</>	YES
YES	83	19215	83	150	1402	MON_ORDEN_YURUEGEN	Random	None	btl_ktv05_tomb -21312 -2907 -2725	btl_ktv05_tomb	<$>190538</>	<$>190571</>	86374,86376,86378,86379,64711,64703,64714,64716,21804,87057,87058,87059,87060,87061	0	0	<$>193289</>	YES
YES	80	55509	77	150	1403	MON_IFARM_RAIDBOSS	Random	None	fld_ifarm01	fld_ifarm01	<$>237471</>	<$>237470</>	87225, 87226, 87227, 87228, 87229, 87230, 87231, 87232, 87233, 87234, 87235, 87236, 87237, 87238, 87239, 87240, 87241, 87242, 87243, 87244, 87245, 87246, 87247, 87248, 87249, 87250, 87251, 87252, 87253, 87254, 87255, 87256, 87257, 87258, 87259, 87260, 87261, 87262, 24221, 24215, 24216	172800	604800	<$>237472</>	YES
YES	93	55519	90	160	1404	MON_DOOMSLAVE_RAID	Random	None	fld_ifarm01	fld_ifarm01	<$>237471</>	<$>215973</>	27635, 87225, 87226, 87227, 87228, 87229, 87230, 87231, 87232, 87233, 87234, 87235, 87236, 87237, 87238, 87239, 87240, 87241, 87242, 87243, 87244, 87245, 87246, 87247, 87248, 87249, 87250, 87251, 87252, 87253, 87254, 87255, 87256, 87257, 87258, 87259, 87260, 87261, 87262, 24215	345600	604800	None	YES
YES	66	18036	64	125	10001	MON_ARMMIDDLE_BOSS	Random	None	btl_bah05	btl_bah05	<$>140391</>	<$>117395</>	189318,60111,60112,60209,60310,60412,60413,60511,60610,60611,60705,60808,60908,61010,61111,61206,61305,61910,62206,62207,62307,62407,62507,62602,62603,62703,62803,62902,62952,63004,63104,63204,86298,86301,86302,15294,15295,15332,46001,46002,86343,86344,86345,86362,86363,86364,86368,86369,86370,21925	35000	65000	None	YES
YES	67	18037	64	125	10002	MON_ARMMIDDLE_BOSS1	Random	None	btl_ust03	btl_ust03	<$>47390</>	<$>117396</>	189319,60111,60112,60209,60310,60412,60413,60511,60610,60611,60705,60808,60908,61010,61111,61206,61305,61910,62206,62207,62307,62407,62507,62602,62603,62703,62803,62902,62952,63004,63104,63204,86298,86301,86302,15294,15295,15332,46001,46002,86343,86344,86345,86362,86363,86364,86368,86369,86370,21925	35000	65000	None	YES
YES	64	18038	64	125	10003	MON_ARMMIDDLE_BOSS2	Random	None	btl_jaq01	btl_jaq01	<$>47411</>	<$>117397</>	189320,60111,60112,60209,60310,60412,60413,60511,60610,60611,60705,60808,60908,61010,61111,61206,61305,61910,62206,62207,62307,62407,62507,62602,62603,62703,62803,62902,62952,63004,63104,63204,86298,86301,86302,15294,15295,15332,46001,46002,86343,86344,86345,86362,86363,86364,86368,86369,86370,21925	35000	65000	None	YES
YES	64	18039	67	125	10004	MON_ARMMIDDLE_BOSS3	Random	None	btl_auch01	btl_auch01	<$>47380</>	<$>117398</>	189321,60111,60112,60209,60310,60412,60413,60511,60610,60611,60705,60808,60908,61010,61111,61206,61305,61910,62206,62207,62307,62407,62507,62602,62603,62703,62803,62902,62952,63004,63104,63204,86298,86301,86302,15294,15295,15332,46001,46002,86343,86344,86345,86362,86363,86364,86368,86369,86370,21925	35000	65000	None	YES
YES	66	18040	65	125	10005	MON_ARMMIDDLE_BOSS4	Random	None	btl_alq02	btl_alq02	<$>28783</>	<$>117399</>	189322,60111,60112,60209,60310,60412,60413,60511,60610,60611,60705,60808,60908,61010,61111,61206,61305,61910,62206,62207,62307,62407,62507,62602,62603,62703,62803,62902,62952,63004,63104,63204,86298,86301,86302,15294,15295,15332,46001,46002,86343,86344,86345,86362,86363,86364,86368,86369,86370,21925	35000	65000	None	YES
